C_ARINSEE,nombre_arbres,SURFACE
75101,1406,1824612.86048666
75102,546,991153.74474596
75103,1209,1170882.82818778
75104,2735,1600585.63150251
75105,2388,2539374.62284532
75106,1758,2153095.58639283
75107,8614,4090057.18546976
75108,7237,3880036.39704363
75109,1167,2178303.27487137
75110,3383,2891739.44162064
75111,5656,3665441.55248808
75112,12553,16314782.637267401
75113,16490,7149311.09107136
75114,11404,5614877.30907921
75115,17137,8494994.08101075
75116,16379,16372542.128973901
75117,10752,5668834.50445393
75118,9997,5996051.30811905
75119,13691,6792651.12902648
75120,15329,5983446.03718297
