"author_handle","likes","mentions","permalink","shares","source_favorites","source_followers","source_following","tags","main"
"BleuBlancCoeur","4.0","","https://twitter.com/BleuBlancCoeur/status/872485847341334529","5.0","5430.0","6420","3885.0","['abeilles']","« Des carences en oméga-3 pourraient expliquer la disparition massive des colonies d’#abeilles » [@Jerusalem_Post] : http://www.jpost.com/Edition-Francaise/Social-Eco/Abeilles-en-d%C3%A9tresse-494781 …"
"VirginieDevigne","0.0","","https://www.twitter.com/VirginieDevigne/status/872137402428653568","0.0","1302.0","154","723.0","['StopNéonics', 'abeilles']",".@EPhilippePM résistez à la Com° EU, signez le décret #StopNéonics interdisant les pesticides tueurs d'#abeilles"
"17070908","0.0","","https://www.twitter.com/17070908/status/870697880041930752","0.0","188.0","30","127.0","['StopNéonics', 'abeilles']",".@N_Hulot résistez à la Com° EU, signez le décret #StopNéonics interdisant les pesticides tueurs d'#abeilles"
"Cocop64","0.0","","https://www.twitter.com/Cocop64/status/871072338791608320","0.0","0.0","0","0.0","['StopNeonics', 'abeilles']",".@AgnesBuzyn Arrêtez le massacre des #abeilles en signant le décret #StopNeonics contre avis Com° EU et lobbies"
"mimi6werth","0.0","","https://www.twitter.com/mimi6werth/status/871077970198265856","0.0","0.0","0","0.0","['StopNeonics', 'abeilles']",".@EPhilippePM Arrêtez le massacre des #abeilles en signant le décret #StopNeonics contre avis Com° EU et lobbies"
"john_repo","0.0","","https://www.twitter.com/john_repo/status/870681134316756992","0.0","0.0","0","0.0","['StopNeonics', 'abeilles']",".@N_Hulot Arrêtez le massacre des #abeilles en signant le décret #StopNeonics contre avis Com° EU et lobbies"
"jourdrensyl","0.0","","https://www.twitter.com/jourdrensyl/status/872357185321398272","0.0","0.0","0","0.0","['abeilles']","#abeilles en diminution nette dans mon jardin. Que faire pour les préserver ?"
"apisurbanica75","2.0","","https://www.twitter.com/apisurbanica75/status/871324012185604096","0.0","0.0","0","0.0","['abeilles', 'apiculture', 'mellifère', 'miel', 'paris', 'tilleul']","Le #tilleul: une floraison essentielle pour la production d'un #miel de #paris #mellifère #abeilles #apiculture http://www.apisurbanica.com "
"Label_Abeille","0.0","","https://www.twitter.com/Label_Abeille/status/870192723684450305","0.0","594.0","458","614.0","['LFDay', 'abeilles', 'agTech', 'agri', 'innovations']","#LFDay On y parle #agTech, #innovations #agri et #abeilles 🐝 = meilleure pollinisation = meilleurs rendements = meilleure biodiversité !"
"fredgoguet","0.0","","https://www.twitter.com/fredgoguet/status/871735712676237312","0.0","294.0","481","746.0","['abeilles', 'publicisbastille', 'rooftop', 'soleil']","J'aime pas être interrompu dans mon taf, sauf si c'est pour regarder un déménagement de ruche #publicisbastille #rooftop #abeilles #soleil"
